Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
59,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,F9 B5B1048,Success,25 July 2018,11:39
60,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,Success,F9 B5B1046.2,Success,7 August 2018,05:18
61,VAFB,SSO-A,"~4,000 kg",SSO,NASA,Success,F9 B5,Success,10 September 2018,04:45
62,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,"Success
",F9 B5B1048.2,Failure,8 October 2018,02:22
63,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,Success,F9 B5B1047.2,No attempt,15 November 2018,20:46
64,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",F9 B5B1046.3,Success,3 December 2018,18:34:05
65,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",F9 B5,Success,5 December 2018,18:16
66,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",F9 B5,Success,23 December 2018,13:51
67,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",F9 B5[268],Success,2 March 2019,07:49
70,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",F9 B5,Success,4 May 2019,06:48
71,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",F9 B5B1049.3,No attempt,24 May 2019,02:30
72,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5B1051.2,Success,12 June 2019,14:17
73,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
74,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,11 November 2019,14:56
76,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",F9 B5,"No attempt
",5 December 2019,17:29
77,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1056.3,Success,17 December 2019,00:10
78,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Failure,7 January 2020,02:19:21
79,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,SpaceX,"Success
",F9 B5,Success,19 January 2020,15:30
80,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,29 January 2020,14:07
81,KSC,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,17 February 2020,15:05
82,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 March 2020,04:50
83,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,18 March 2020,12:16
84,CCAFS,Starlink,"15,410 kg",LEO,U.S. Space Force,"Success
",F9 B5,Success,22 April 2020,19:30
85,CCAFS,GPS III,"4,311 kg",MEO,Republic of Korea Army,"Success
",F9 B5,Success,30 May 2020,19:22
86,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,SpaceX,"Success
",F9 B5,Success,4 June 2020,01:25
87,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,13 June 2020,09:21
88,CCAFS,Starlink,"~15,440 kg",LEO,CONAE,"Success
",F9 B5,Success,30 June 2020,20:10:46
89,CCAFS,SAOCOM 1B,"3,130 kg",SSO,SpaceX,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
91,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,30 August 2020,23:18
93,CCAFS,Starlink,"15,600 kg",LEO,USSF,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,CCAFS,GPS III,"4,311 kg",MEO,NASA,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,SpaceX,"Success
",F9 B5,Success,24 October 2020,15:31:34
97,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,KSC,SpaceX CRS-21,"2,972 kg",LEO,Sirius XM,"Success
",F9 B5,Success,16 November 2020,00:27
99,CCSFS,SXM-7,"7,000 kg",GTO,NRO,"Success
",F9 B5,Success,21 November 2020,17:17:08
100,KSC,NROL-108,C,LEO,Türksat,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,CCSFS,Türksat 5A,"3,500 kg",GTO,SpaceX,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,KSC,Starlink,"15,600 kg",LEO,,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,CCSFS,Transporter-1,"~5,000 kg",SSO,,,F9 B5 ♺,,19 December 2020,14:00:00
104,,,,,,,F9 B5,,8 January 2021,02:15
105,,,,,,,F9 B5B1051.8,,20 January 2021,13:02
106,,,,,,,F9 B5B1058.5,,24 January 2021,15:00
